,subtype,class,cnt,avg_height
0,residential,house,166706,5.677382387893502
1,residential,garage,110580,3.530780506640286
2,residential,detached,69526,7.826822453536058
3,residential,apartments,29925,15.836731169113655
4,residential,semidetached_house,19924,8.18880676481046
5,residential,terrace,7501,7.594128409062622
6,residential,residential,3341,10.645289487058925
7,commercial,retail,3122,6.33951795178144
8,commercial,commercial,2669,13.552238676954447
9,outbuilding,shed,2231,3.8818473521822057
10,education,school,1883,15.34498789832875
11,industrial,industrial,1367,7.138792171985876
12,religious,church,905,13.202807359695433
13,outbuilding,roof,703,5.812698275016178
14,commercial,office,615,32.46789670862025
15,residential,garages,533,3.617209808643047
16,education,university,427,20.793124966766563
17,service,storage_tank,370,13.459065022210817
18,service,service,326,6.66687611727334
19,commercial,hotel,293,46.15356188783872
20,commercial,warehouse,292,8.512828825793852
21,transportation,parking,245,14.295792478639253
22,civic,library,241,10.00938682397866
23,medical,hospital,216,31.118892931673255
24,outbuilding,outbuilding,154,4.649602057717063
25,residential,dormitory,150,25.000858428955077
26,residential,static_caravan,137,3.751838172787299
27,education,college,136,19.361035564646997
28,transportation,transportation,128,8.23951222524047
29,transportation,train_station,117,10.20752256711324
30,civic,fire_station,112,11.487751813445774
31,civic,post_office,103,7.882025388143597
32,religious,synagogue,101,10.518208010834039
33,civic,public,74,13.496552102336368
34,civic,government,50,20.807140116691585
35,education,kindergarten,46,6.636146734071815
36,civic,civic,41,17.93740024799254
37,service,toilets,38,4.634923601150512
38,agricultural,greenhouse,33,5.331852373932348
39,transportation,bridge_structure,31,74.44071317180511
40,religious,mosque,25,9.638386594772339
41,residential,cabin,23,4.12064258326655
42,transportation,hangar,20,12.294028635025025
43,religious,religious,18,8.794009833865696
44,entertainment,sports_centre,18,7.838231934441461
45,religious,chapel,18,12.156633705563017
46,outbuilding,carport,17,3.5301100758945236
47,religious,temple,16,7.4919446259737015
48,service,guardhouse,12,3.8166666666666664
49,entertainment,stadium,10,12.478959436416627
50,entertainment,grandstand,10,6.629932169914246
51,religious,cathedral,10,23.45995421409607
52,residential,parking,9,11.627072750727335
53,commercial,post_office,9,8.9003731780582
54,industrial,manufacture,8,7.468998622894287
55,agricultural,stable,7,8.403501285825458
56,commercial,supermarket,7,7.92488192830767
57,agricultural,barn,6,5.391452574729919
58,residential,bungalow,6,4.000000000000001
59,commercial,parking,5,15.501787071228028
60,service,boathouse,5,7.22186201095581
61,military,military,5,13.34
62,entertainment,pavilion,4,7.9275777578353885
63,education,library,3,20.610252126057944
64,residential,hut,3,4.3
65,residential,library,2,19.15
66,entertainment,library,2,27.492480659484862
67,commercial,kiosk,2,4.15
68,agricultural,silo,2,4.297303676605225
69,military,bunker,1,0.7
70,commercial,library,1,7.03622579574585
71,entertainment,sports_hall,1,7.0
